page_id,pagerank
page_nzb0p81n,0.04059329217813179
page_pdymlutb,0.03814704735441639
page_w1hb8vft,0.03551477666405152
page_n3qlr3z3,0.03529613026261533
page_snhg0q9z,0.034701406404147574
page_i81zsf8z,0.03292639585717881
page_39zj5p6e,0.03180049470734384
page_miot68f6,0.03161288755724853
page_lmjlrqca,0.030726063137002123
page_em7d1wxq,0.030026056469471825
page_05zv5nbn,0.029885267113371198
page_0nyccm4k,0.029170581789956823
page_fv2wpih5,0.02843118301734732
page_kzuljvop,0.027395552767132743
page_cxeku5li,0.025781825678427104
page_roxzaz8y,0.02541259432572519
page_yx4ne13u,0.0252359996448768
page_238dzbtz,0.02518913465174116
page_6sikdxma,0.024473504767377058
page_yeg0yrgk,0.023922397591887367
page_s18dt6dr,0.02369578882771038
page_o864r4v6,0.023174860900945157
page_ywacjguo,0.02230536540640062
page_7x1rlmjt,0.022277744605853984
page_102zch3d,0.021976366500227877
page_qe3aq29i,0.02107811656994566
page_8g91r1am,0.02079780828446088
page_ob3zmgcp,0.01925935887579234
page_tzhk5z1x,0.019058589933129356
page_bf1lvwb5,0.01733880094522323
page_aqy6kko1,0.017160027624333336
page_bj2fksf5,0.017024461325255414
page_z7pq930t,0.01673505384417125
page_l0ag312w,0.014566071511478138
page_gs03v2eg,0.014290594348725245
page_g9owwjua,0.013040159432102762
page_78wexxfw,0.012796074884011664
page_gd96zu7q,0.012077813339595806
page_iehokstr,0.010368349852364525
page_kjigfmh5,0.009713831316191416
page_qth60lsb,0.009713831316191416
page_fpyh0rbt,0.009370845324745303
page_4c8elkmx,0.00879014600731002
page_eain05vc,0.008733518382444013
page_yqhcunev,0.008413828701939935
