PageID,PageRank
page_et51vpuo,0.1291771739205582
page_d1gcgsei,0.06992320373296242
page_kkz8if2h,0.0675183687177519
page_pj00xzaz,0.06532489940247199
page_anp4q3x2,0.06114206533672145
page_tib0el72,0.060514112785885005
page_ouav80ua,0.05755967057134889
page_6rk7o0eo,0.05304290728378806
page_n4ukhfrh,0.05170754277077165
page_h3islirb,0.05147585077979125
page_58ce4v8w,0.05142400604061015
page_p8du4tcc,0.047773079168319854
page_l0sfd62z,0.04227082523142199
page_4u8kfzyw,0.03565723070308284
page_7irhloeo,0.03534494177856973
page_i8isbyeq,0.0344906349212779
page_4xmxds4b,0.03222250823561648
page_9d9m64x4,0.02922778840975415
page_jtax94ck,0.024203190209295903
